1,2,3,4,5,6,7,8,9,10,11,12,13,14
20240411234253,10.0.0.20,53722,10.0.2.20,5001,3,0.0-10.1,6684672,5281280,0,cubic,100000,500,10000
20240411234345,10.0.0.20,59566,10.0.2.20,5001,3,0.0-13.1,1847648,1125791,0,cubic,100000,500,100000
20240411234434,10.0.0.20,49676,10.0.2.20,5001,3,0.0-10.2,4325376,3385454,0,cubic,100000,900,10000
20240411234528,10.0.0.20,37960,10.0.2.20,5001,3,0.0-11.2,1760768,1257155,0,cubic,100000,900,100000
20240411234619,10.0.0.20,51422,10.0.2.20,5001,3,0.0-10.4,81657856,62654598,0,cubic,1000000,500,10000
20240411234709,10.0.0.20,54698,10.0.2.20,5001,3,0.0-10.5,45875200,34838849,0,cubic,1000000,500,100000
20240411234758,10.0.0.20,45712,10.0.2.20,5001,3,0.0-10.1,16121856,12708484,0,cubic,1000000,900,10000
20240411234846,10.0.0.20,50916,10.0.2.20,5001,3,0.0-10.2,1966080,1538134,0,cubic,1000000,900,100000
20240411235620,10.0.0.20,39600,10.0.2.20,5001,3,0.0-10.0,3932160,3139885,1,cubic,100000,500,10000
20240411235711,10.0.0.20,51702,10.0.2.20,5001,3,0.0-12.5,1703936,1086203,1,cubic,100000,500,100000
20240411235802,10.0.0.20,47216,10.0.2.20,5001,3,0.0-11.1,7471104,5368535,1,cubic,100000,900,10000
20240411235855,10.0.0.20,54528,10.0.2.20,5001,3,0.0-12.2,1048576,690294,1,cubic,100000,900,100000
20240411235945,10.0.0.20,51344,10.0.2.20,5001,3,0.0-10.2,66191360,51785055,1,cubic,1000000,500,10000
20240412000035,10.0.0.20,53440,10.0.2.20,5001,3,0.0-10.9,1179648,868359,1,cubic,1000000,500,100000
20240412000126,10.0.0.20,34394,10.0.2.20,5001,3,0.0-10.6,65536000,49543299,1,cubic,1000000,900,10000
20240412000217,10.0.0.20,48316,10.0.2.20,5001,3,0.0-10.8,7077888,5228208,1,cubic,1000000,900,100000
20240412000956,10.0.0.20,40260,10.0.2.20,5001,3,0.0-10.5,5111808,3909571,2,cubic,100000,500,10000
